GEOID,NAME,variable,estimate,moe,year
2476725,"Taneytown city, Maryland",population,7183,28,2021
2476925,"Taylors Island CDP, Maryland",population,86,56,2021
2477100,"Temple Hills CDP, Maryland",population,9037,1068,2021
2477200,"Templeville town, Maryland",population,154,113,2021
2477262,"Ten Mile Creek CDP, Maryland",population,1255,347,2021
2477825,"Thurmont town, Maryland",population,6247,24,2021
2477912,"Tilghman Island CDP, Maryland",population,837,238,2021
2477925,"Tilghmanton CDP, Maryland",population,312,192,2021
2478050,"Timonium CDP, Maryland",population,11136,1149,2021
2478120,"Tolchester CDP, Maryland",population,487,226,2021
2478425,"Towson CDP, Maryland",population,59014,2112,2021
2478575,"Trappe town, Maryland",population,1098,243,2021
2478650,"Travilah CDP, Maryland",population,11052,756,2021
2478705,"Trego-Rohrersville Station CDP, Maryland",population,254,243,2021
2479225,"Tyaskin CDP, Maryland",population,98,71,2021
2479350,"Union Bridge town, Maryland",population,962,216,2021
2479675,"University Park town, Maryland",population,2701,338,2021
2479875,"Upper Marlboro town, Maryland",population,621,150,2021
2479900,"Urbana CDP, Maryland",population,12841,1037,2021
2480075,"Vale Summit CDP, Maryland",population,72,37,2021
2480600,"Vienna town, Maryland",population,424,128,2021
2481175,"Waldorf CDP, Maryland",population,79190,1928,2021
2481250,"Walker Mill CDP, Maryland",population,10596,1054,2021
2481275,"Walkersville town, Maryland",population,6134,31,2021
2481675,"Washington Grove town, Maryland",population,700,149,2021
2481925,"Waterview CDP, Maryland",population,19,31,2021
2482625,"West Denton CDP, Maryland",population,75,79,2021
2482750,"Westernport town, Maryland",population,1785,376,2021
2483025,"West Laurel CDP, Maryland",population,4627,586,2021
2483100,"Westminster city, Maryland",population,19783,36,2021
2483225,"West Ocean City CDP, Maryland",population,5287,506,2021
2483290,"Westphalia CDP, Maryland",population,10578,1049,2021
2483337,"West Pocomoke CDP, Maryland",population,494,223,2021
2483746,"Whaleyville CDP, Maryland",population,40,66,2021
2483775,"Wheaton CDP, Maryland",population,51836,2397,2021
2484225,"Whitehaven CDP, Maryland",population,170,183,2021
2484350,"White Marsh CDP, Maryland",population,9663,738,2021
2484375,"White Oak CDP, Maryland",population,14711,1512,2021
2484784,"Wildewood CDP, Maryland",population,6805,755,2021
2484950,"Willards town, Maryland",population,1104,246,2021
2485100,"Williamsport town, Maryland",population,1952,396,2021
2485175,"Williston CDP, Maryland",population,137,72,2021
2485395,"Wilson-Conococheague CDP, Maryland",population,2069,490,2021
2486275,"Woodland CDP, Maryland",population,17,25,2021
2486475,"Woodlawn CDP (Baltimore County), Maryland",population,42053,2301,2021
2486525,"Woodlawn CDP (Prince George's County), Maryland",population,7819,1160,2021
2486710,"Woodmore CDP, Maryland",population,4742,644,2021
2486750,"Woodsboro town, Maryland",population,1242,400,2021
2487000,"Worton CDP, Maryland",population,108,71,2021
2487150,"Yarrowsburg CDP, Maryland",population,228,246,2021
2487275,"Zihlman CDP, Maryland",population,373,101,2021
