recipient_state,total_spent,perc_state
CO,2319.31,46.08984231392148
CA,1024.1200000000001,20.351539600369623
NJ,511.44000000000005,10.163449022783503
OH,429.12,8.52756773943543
DC,261.21,5.190823008058184
NY,202.86,4.031278876822034
MA,153.46,3.049591129040271
NV,130.63,2.595908309569468
