ncaa_id,TeamFull,Conference
111,UC-Riverside Highlanders Women's,Big West WBB
112,UC-San Diego Tritons Women's,Big West WBB
104,UCSB Gauchos Women's,Big West WBB
110,UCLA Bruins Women's,Pac-12 WBB
456,UNC Asheville Bulldogs Women's,Big South WBB
459,UNC Greensboro Spartans Women's,Southern WBB
732,Utah Utes Women's,Pac-12 WBB
30095,Utah Tech Trailblazers Women's,WAC WBB
30024,Utah Valley Wolverines Women's,WAC WBB
735,Valparaiso Beacons Women's,MVC WBB
736,Vanderbilt Commodores Women's,SEC WBB
738,Vermont Catamounts Women's,AEC WBB
739,Villanova Wildcats Women's,Big East WBB
746,Virginia Cavaliers Women's,ACC WBB
740,VCU Rams Women's,A-10 WBB
742,Virginia Tech Hokies Women's,ACC WBB
748,Wagner Seahawks Women's,NEC WBB
749,Wake Forest Demon Deacons Women's,ACC WBB
756,Washington Huskies Women's,Pac-12 WBB
754,Washington State Cougars Women's,Pac-12 WBB
758,Weber State Wildcats Women's,Big Sky WBB
768,West Virginia Mountaineers Women's,Big 12 WBB
769,Western Carolina Catamounts Women's,Southern WBB
771,Western Illinois Leathernecks Women's,OVC WBB
774,Western Michigan Broncos Women's,MAC WBB
782,Wichita State Shockers Women's,AAC WBB
786,William & Mary Tribe Women's,CAA WBB
792,Winthrop Eagles Women's,Big South WBB
796,Wisconsin Badgers Women's,Big Ten WBB
2915,Wofford Terriers Women's,Southern WBB
811,Wyoming Cowboys Women's,MWC WBB
812,Xavier Musketeers Women's,Big East WBB
813,Yale Bulldogs Women's,Ivy WBB
