ncaa_id,TeamFull,Conference
419,Middle Tennessee Blue Raiders,CUSA WBB
797,Milwaukee Panthers,Horizon WBB
428,Minnesota Golden Gophers,Big Ten WBB
433,Ole Miss Rebels,SEC WBB
430,Mississippi State Bulldogs,SEC WBB
432,Mississippi Valley State Devilettes,SWAC WBB
434,Missouri Tigers,SEC WBB
439,Monmouth Hawks,CAA WBB
441,Montana Grizzlies,Big Sky WBB
440,Montana State Bobcats,Big Sky WBB
444,Morehead State Eagles,OVC WBB
450,Mount St. Mary's Mountaineers,MAAC WBB
454,Murray State Racers,MVC WBB
726,Navy Midshipmen,Patriot WBB
490,NC State Wolfpack,ACC WBB
463,Nebraska Cornhuskers,Big Ten WBB
466,Nevada Wolf Pack,MWC WBB
469,New Hampshire Wildcats,AEC WBB
473,New Mexico Lobos,MWC WBB
472,New Mexico State Aggies,WAC WBB
474,New Orleans Lady Privateers,Southland WBB
482,Niagara Purple Eagles,MAAC WBB
483,Nicholls State Colonels,Southland WBB
485,Norfolk State Spartans,MEAC WBB
487,North Alabama Lions,A-Sun WBB
457,UNC Tar Heels,ACC WBB
489,North Carolina Central Eagles,MEAC WBB
494,North Dakota Fighting Hawks,Summit WBB
493,North Dakota State Bison,Summit WBB
2711,North Florida Ospreys,A-Sun WBB
497,North Texas Mean Green,CUSA WBB
500,Northeastern Huskies,CAA WBB
501,Northern Arizona Lumberjacks,Big Sky WBB
502,Northern Colorado Bears,Big Sky WBB
503,Northern Illinois Huskies,MAC WBB
504,Northern Iowa Panthers,MVC WBB
505,Northern Kentucky Norse,Horizon WBB
509,Northwestern Wildcats,Big Ten WBB
508,Northwestern State Lady Demons,Southland WBB
513,Notre Dame Fighting Irish,ACC WBB
514,Oakland Golden Grizzlies,Horizon WBB
519,Ohio Bobcats,MAC WBB
518,Ohio State Buckeyes,Big Ten WBB
522,Oklahoma Sooners,Big 12 WBB
521,Oklahoma State Cowgirls,Big 12 WBB
523,Old Dominion Lady Monarchs,Sun Belt WBB
464,Omaha Mavericks,Summit WBB
527,Oral Roberts Golden Eagles,Summit WBB
529,Oregon Ducks,Pac-12 WBB
528,Oregon State Beavers,Pac-12 WBB
539,Penn State Nittany Lions,Big Ten WBB
540,Penn Quakers,Ivy WBB
541,Pepperdine Waves,WCC WBB
545,Pitt Panthers,ACC WBB
551,Portland Pilots,WCC WBB
550,Portland State Vikings,Big Sky WBB
554,Princeton Tigers,Ivy WBB
556,Providence Friars,Big East WBB
559,Purdue Boilermakers,Big Ten WBB
308,Purdue-Fort Wayne Mastodons,Horizon WBB
11504,Queens (NC) Royals,A-Sun WBB
562,Quinnipiac Bobcats,MAAC WBB
563,Radford Highlanders,Big South WBB
572,Rhode Island Rams,A-10 WBB
574,Rice Owls,CUSA WBB
575,Richmond Spiders,A-10 WBB
576,Rider Broncs,MAAC WBB
579,Robert Morris Colonials,Horizon WBB
587,Rutgers Scarlet Knights,Big Ten WBB
102,Sacramento State Hornets,Big Sky WBB
590,Sacred Heart Pioneers,NEC WBB
600,Saint Francis (PA) Red Flash,NEC WBB
609,Saint Louis Billikens,A-10 WBB
610,Saint Mary's Gaels,WCC WBB
617,St. Peter's Peahens,MAAC WBB
624,Sam Houston State Bearkats,WAC WBB
625,Samford Bulldogs,Southern WBB
627,San Diego Toreros,WCC WBB
626,San Diego State Aztecs,MWC WBB
629,San Francisco Dons,WCC WBB
630,San Jose State Spartans,MWC WBB
631,Santa Clara Broncos,WCC WBB
1356,Seattle Redhawks,WAC WBB
635,Seton Hall Pirates,Big East WBB
639,Siena Saints,MAAC WBB
646,South Alabama Jaguars,Sun Belt WBB
648,South Carolina Gamecocks,SEC WBB
650,South Dakota Coyotes,Summit WBB
649,South Dakota State Jackrabbits,Summit WBB
651,South Florida Bulls,AAC WBB
